"Occupation Title","SOC Code","Employment 2016 (thousands)","Employment 2026 (thousands)","Employment change, 2016-2026 (thousands)","Employment change, 2016-2026 (percent)","Occupational openings, 2016-2026 annual average (thousands)","2017 median annual wage","Typical entry-level education","Education Code","Work experience in a related occupation","Workex Code","Typical on-the-job training","trCode"
"Heating, air conditioning, and refrigeration mechanics and installers    * Air Conditioning Service Technician* Bulk Cooler Installer* Evaporative Cooler Installer* Furnace Converter* Furnace Fitter* Gas Furnace Installer* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic* Oil Burner Repairer* Oil Furnace Installer* Refrigeration Systems Installer* Stoker Installer","=""49-9021""","332.9","381.7","48.8","14.7","38.7","47,080","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"Heavy and tractor-trailer truck drivers    * Auto Carrier Driver* Cement Truck Driver* Concrete Mixer Driver* Concrete Mixer Truck Driver* Fuel Truck Driver* Garbage Truck Driver* Line Haul Driver* Logging Truck Driver* Moving Van Driver* Over-the-Road Driver* Semi-Truck Driver* Tanker Driver* Tow Truck Operator","=""53-3032""","1,871.7","1,980.1","108.4","5.8","213.5","42,480","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Helpers, construction trades, all other    * Boiler Coverer Helper* Bridge Ironworker Helper* Carpet Layer Helper* Cellulose Insulation Helper* Construction Ironworker Helper* Cork Insulator Helper* Drywall Hanger Helper* Drywall Stripper Helper* Drywall Taper Helper* HVAC Sheet Metal Installer Helper* Heat and Frost Insulator Helper* Linoleum Layer Helper* Ornamental Ironworker Helper* Pipe Insulator Helper* Plate Glass Installer Helper* Post Tensioning Ironworker Helper* Rod Buster Helper* Sheet Metal Duct Installer Helper* Sheet Rock Installation Helper* Sheet Rock Taper Helper* Stained Glass Glazier Helper* Terrazzo Finisher Helper* Terrazzo Layer Helper* Terrazzo Worker Helper* Trench Digger Helper* Wall Taper Helper* Window Glazier Helper","=""47-3019""","22.1","24.8","2.7","12.1","3.5","29,660","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters    * Adobe Layer Helper* Brick Carrier* Brick Washer* Bricklayer Helper* Ceramic Tile Installation Helper* Chimney Builder Helper* Firebrick Layer Helper* Marble Installation Helper* Mortar Mixer* Parquet Floor Layer's Helper* Refractory Tile Helper* Wood Tile Installation Helper","=""47-3011""","24.1","27.0","2.9","12.1","3.8","31,710","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Helpers--carpenters    * Beam Builder Helper* Building Carpenter Helper* Carpenter Assistant* Carpenter Helper* Construction Carpenters Helper* Hardwood Floor Installation Helper* House Carpenter Helper","=""47-3012""","36.7","41.4","4.7","12.8","5.9","29,860","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Helpers--electricians    * Electrical Sign Wirer Helper* Electrician's Assistant* House Wirer Helper* Marine Electrician Helper* Stage Electrician Helper* Utilities Ground Worker","=""47-3013""","73.2","80.9","7.7","10.6","11.5","30,540","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--extraction workers    * Blaster Helper* Blasting Helper* Boring Machine Operator Helper* Continuous Miner Operator Helper* Driller Helper* Loading Machine Operator Helper* Longwall Machine Operator Helper* Mining Helper* Roof Bolter Helper* Rotary Drill Operator Helper* Shale Planer Operator Helper","=""47-5081""","17.0","20.3","3.4","19.7","2.6","35,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Helpers--installation, maintenance, and repair workers    * Automobile Body Repairer Helper* Cable Splicer Helper* Hydroelectric Machinery Mechanic Helper* Locksmith Helper* Mechanic's Assistant* Meter Repairer Helper* Motorboat Mechanic Helper* Powerhouse Mechanic Helper* Streetcar Repairer Helper","=""49-9098""","120.2","133.5","13.3","11.1","17.0","28,490","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--painters, paperhangers, plasterers, and stucco masons    * Billboard Poster Helper* Bridge Painter Helper* Dry Plasterer Helper* Highway Painter Helper* House Painter Helper* Ornamental Plasterer Helper* Plaster Tender* Ship Painter Helper* Swimming Pool Plasterer Helper* Wallpaper Hanger Helper* Wallpaperer Helper","=""47-3014""","10.9","11.4","0.5","4.1","1.6","28,760","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters    * Gas Main Fitter Helper* Hydraulic Plumber Helper* Industrial Gas Fitter Helper* Marine Pipefitter Helper* Marine Steam Fitter Helper* Pipe Fitter Helper* Plumber Assistant* Plumber Helper* Sewer Pipe Layer Helper* Sprinkler Fitter Helper* Trench Pipe Layer Helper* Water Main Installer Helper","=""47-3015""","55.5","65.8","10.3","18.6","9.5","29,890","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--production workers    * Blending Tank Helper* Commercial Baker Helper* Machinist Helper* Slitter Helper* Tailor Helper* Welder Helper* Woodworker Helper","=""51-9198""","426.0","475.5","49.5","11.6","72.0","26,070","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--roofers    * Hot Tar Roofer Helper* Industrial Roofer Helper* Residential Roofer Helper* Roofer Assistant* Roofer Helper* Roofing Laborer* Shingles Roofer Helper* Slate Roofer Helper* Terra Cotta Roofer Helper","=""47-3016""","10.2","11.5","1.3","12.4","1.6","28,500","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Highway maintenance workers    * Highway Maintainer* Highway Maintenance Crew Worker* Highway Worker* Lane Marker Installer* Road Patcher* Road Sign Installer","=""47-4051""","149.9","160.2","10.3","6.9","16.5","38,700","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Historians    * Genealogist* Historiographer* Protohistorian","=""19-3093""","3.3","3.5","0.2","6.0","0.3","59,120","Master's degree","2","None","4","None","6"
"History teachers, postsecondary    * African History Professor* American History Professor* Historiography Professor* Jewish History Professor* Russian History Professor* South Asian History Professor","=""25-1125""","26.9","29.7","2.8","10.3","2.4","72,690","Doctoral or professional degree","1","None","4","None","6"
"Hoist and winch operators    * Hoist Operator* Winch Derrick Operator* Winch Operator","=""53-7041""","2.9","2.9","0.0","-0.7","0.4","43,210","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Home appliance repairers    * Certified Appliance Service Technician* Electric Stove Installer* Gas Appliance Repairer* Gas Appliance Servicer* Home Appliance Installer* Stove Installer* Vacuum Cleaner Repair Person* Vacuum Cleaner Repairer* Washing Machine Installer* Washing Machine Repairer* Window Air Conditioner Installer","=""49-9031""","46.6","44.7","-1.9","-4.2","4.0","38,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Home economics teachers, postsecondary    * Family Resource Management Professor* Family and Consumer Sciences Professor* Home and Family Living Professor* Weaving Professor","=""25-1192""","3.5","3.8","0.3","7.8","0.3","71,630","Master's degree","2","None","4","None","6"
"Home health aides    * Home Health Aide* Home Health Attendant* Home Hospice Aide","=""31-1011""","911.5","1,342.7","431.2","47.3","168.6","23,210","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Hosts and hostesses, restaurant, lounge, and coffee shop    * Bar Host/Hostess* Bar Hostess* Dining Room Host* Dining Room Host/Hostess* Maitre D'* Tearoom Host/Hostess* Tearoom Hostess","=""35-9031""","409.2","437.5","28.3","6.9","97.9","20,930","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Hotel, motel, and resort desk clerks    * Assistant Innkeeper* Hotel Desk Clerk* Hotel Front Desk Clerk* Hotel Registration Clerk* Motel Clerk* Motel Front Desk Attendant* Resort Desk Clerk","=""43-4081""","252.6","263.8","11.2","4.4","40.9","22,850","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Human resources assistants, except payroll and timekeeping    * Employment Clerk* HR Clerk* Personnel Clerk","=""43-4161""","141.5","138.9","-2.6","-1.8","15.1","39,480","Associate's degree","4","None","4","None","6"
"Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager","=""11-3121""","136.1","148.4","12.3","9.1","12.4","110,120","Bachelor's degree","3","5 years or more","1","None","6"
"Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator","=""13-1071""","547.8","586.7","38.9","7.1","57.6","60,350","Bachelor's degree","3","None","4","None","6"
"Hydrologists    * Hydrogeologist* Hydrologist* Isotope Hydrologist* Surface Hydrologist","=""19-2043""","6.7","7.4","0.7","9.9","0.7","79,990","Bachelor's degree","3","None","4","None","6"
"Industrial engineering technicians    * Industrial Engineering Technician* Motion Study Technician* Production Control Technologist* Time Study Technician* Time Study Technologist","=""17-3026""","63.9","64.3","0.4","0.6","5.5","54,280","Associate's degree","4","None","4","None","6"
"Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer","=""17-2112""","257.9","283.0","25.1","9.7","19.7","85,880","Bachelor's degree","3","None","4","None","6"
"Industrial machinery mechanics    * Bag Machine Adjuster* Boilerhouse Mechanic* Foundry Equipment Mechanic* Hydroelectric Machinery Mechanic* Industrial Conveyor Belt Repairer* Loom Fixer* Loom Technician","=""49-9041""","346.9","370.1","23.2","6.7","33.0","51,360","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager","=""11-3051""","170.6","169.7","-0.9","-0.5","11.6","100,580","Bachelor's degree","3","5 years or more","1","None","6"
"Industrial truck and tractor operators    * Forklift Driver* Forklift Operator* Front-End Loader Operator* Hydraulic Lift Driver* Industrial Truck Operator* Reach-Lift Truck Driver* Stacker Operator","=""53-7051""","549.9","585.9","36.1","6.6","65.9","33,630","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist","=""19-3032""","1.7","1.8","0.1","8.4","0.1","87,100","Master's degree","2","None","4","Internship/residency","1"
"Information and record clerks, all other    * Election Clerk* Flight Crew Scheduler* Probate Clerk* Student Admissions Clerk","=""43-4199""","178.1","191.7","13.6","7.6","21.9","39,860","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Information security analysts    * Computer Security Specialist* Computer Systems Security Analyst* Information Security Analyst* Information Systems Security Analyst* Internet Security Specialist* Network Security Analyst","=""15-1122""","100.0","128.5","28.5","28.5","10.4","95,510","Bachelor's degree","3","Less than 5 years","2","None","6"
"Inspectors, testers, sorters, samplers, and weighers    * Ampoule Examiner* Bag Grader* Cigarette Examiner* Compressed Gas Tester* Machined Parts Quality Inspector* Petroleum Sampler* Quality Assurance Inspector* Quality Control Inspector* Quality Inspector* Spark Plug Tester","=""51-9061""","520.7","465.2","-55.5","-10.7","52.7","37,340","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Installation, maintenance, and repair workers, all other    * Bowling Alley Mechanic* Fire Extinguisher Installer* Gasoline Pump Installer* Gunsmith* Ski Lift Mechanic* Wheelwright* Windmill Mechanic* Window Shade Installer","=""49-9099""","175.8","190.3","14.5","8.2","18.7","38,800","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Instructional coordinators    * Curriculum Coordinator* Curriculum Designer* Curriculum Specialist* Curriculum and Assessment Director* Curriculum and Instruction Director* Instructional Coordinator* Instructional Materials Director* School Curriculum Developer* Special Education Curriculum Specialist","=""25-9031""","163.2","180.4","17.2","10.5","16.9","63,750","Master's degree","2","5 years or more","1","None","6"
"Insulation workers, floor, ceiling, and wall    * Ceiling Insulation Blower* Composition Weatherboard Installer* Cork Insulation Installer* Cork Insulator* Insulation Machine Operator* Interior Surface Insulation Worker* Wall Insulation Sprayer","=""47-2131""","30.9","31.3","0.4","1.3","3.3","37,050","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Insulation workers, mechanical    * Boiler Coverer* Heat and Frost Insulator* Pipe Coverer* Pipe Insulator* Refrigeration Insulator* Sheet Metal Insulator","=""47-2132""","28.6","31.4","2.8","9.7","3.4","45,550","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Insurance appraisers, auto damage    * Auto Damage Appraiser* Auto Damage Insurance Appraiser* Automobile Damage Appraiser* Vehicle Damage Appraiser","=""13-1032""","17.6","18.5","0.9","4.9","1.5","62,100","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4"
"Insurance claims and policy processing clerks    * Insurance Claims Clerk* Insurance Clerk* Insurance Examining Clerk* Insurance Policy Issue Clerk* Underwriting Assistant* Underwriting Clerk","=""43-9041""","308.5","342.6","34.1","11.1","35.6","38,790","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Insurance sales agents    * Health Insurance Sales Agent* Insurance Agent* Insurance Broker* Life Insurance Agent* Life Insurance Salesperson* Pension Agent","=""41-3021""","501.4","551.2","49.8","9.9","54.7","49,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative","=""13-2053""","104.1","98.6","-5.4","-5.2","7.5","69,760","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer","=""27-1025""","66.5","69.5","2.9","4.4","6.5","51,500","Bachelor's degree","3","None","4","None","6"
"Internists, general    * General Internal Medicine Doctor* General Internal Medicine Physician* General Internist* Internal Medicine Physician* Internist","=""29-1063""","49.8","57.0","7.3","14.6","2.1","192,930","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Interpreters and translators    * American Sign Language Interpreter* Court Interpreter* Deaf Interpreter* Diplomatic Interpreter* Language Translator* Translator","=""27-3091""","68.2","80.3","12.1","17.7","7.8","47,190","Bachelor's degree","3","None","4","None","6"
"Interviewers, except eligibility and loan    * Admitting Interviewer* Census Clerk* Census Taker* Field Enumerator* Market Research Interviewer* Outpatient Interviewing Clerk* Survey Interviewer* Telephone Interviewer","=""43-4111""","194.7","205.7","11.0","5.7","24.3","33,110","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Janitors and cleaners, except maids and housekeeping cleaners    * Building Custodian* Cleaning and Maintenance Worker* Custodial Worker* Custodian* Floor Cleaner* Heavy Duty Custodian* Industrial Plant Custodian* Janitor* Office Cleaner* School Custodian* Window Cleaner* Window Washer","=""37-2011""","2,384.6","2,621.2","236.5","9.9","344.1","24,990","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Jewelers and precious stone and metal workers    * Diamond Grader* Diamond Polisher* Diamond Setter* Facetor* Gem Cutter* Gemologist* Goldsmith* Jewelry Repairer* Jewelsmith* Lapidarist* Pewterer* Silversmith","=""51-9071""","37.7","35.2","-2.5","-6.7","3.5","37,960","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge","=""23-1023""","28.4","30.0","1.6","5.6","1.4","133,840","Doctoral or professional degree","1","5 years or more","1","Short-term on-the-job training","5"
"Judicial law clerks    * Judicial Clerk","=""23-1012""","14.0","14.8","0.8","5.5","0.8","51,330","Doctoral or professional degree","1","None","4","None","6"
"Kindergarten teachers, except special education    * Bilingual Kindergarten Teacher* Kindergarten Teacher","=""25-2012""","154.4","166.7","12.3","7.9","16.7","54,230","Bachelor's degree","3","None","4","None","6"
"Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative","=""13-1075""","81.1","74.8","-6.3","-7.7","6.8","63,200","Bachelor's degree","3","Less than 5 years","2","None","6"
"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Stock Mover* Van Loader* Wharf Laborer","=""53-7062""","2,628.4","2,828.1","199.7","7.6","388.4","27,040","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Designer* Lanscape Architect","=""17-1012""","24.7","26.3","1.6","6.4","1.9","65,760","Bachelor's degree","3","None","4","Internship/residency","1"
"Landscaping and groundskeeping workers    * Golf Course Laborer* Greenskeeper* Greenskeeper Laborer* Grounds Caretaker* Grounds Maintenance Worker* Hedge Trimmer* Lawn Care Worker* Lawn Caretaker* Lawn Maintenance Worker* Lawn Mower* Lawn Service Worker* Shrub Planter* Sod Layer","=""37-3011""","1,197.9","1,333.1","135.2","11.3","163.0","27,670","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic    * Engine Lathe Operator* Gear Cutter* Screw Machine Operator* Screw Machine Tool Setter","=""51-4034""","33.7","30.8","-2.8","-8.4","2.9","38,580","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Laundry and dry-cleaning workers    * Drycleaner* Launderer* Laundress* Laundry Attendant* Laundry Equipment Operator* Laundry Operator* Laundry Sorter* Laundry Worker* Precision Dyer","=""51-6011""","220.1","219.6","-0.5","-0.2","29.5","22,370","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor","=""25-1112""","21.2","23.8","2.6","12.3","1.9","104,910","Doctoral or professional degree","1","Less than 5 years","2","None","6"
"Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Lawyer* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer","=""23-1011""","792.5","857.5","65.0","8.2","40.7","119,250","Doctoral or professional degree","1","None","4","None","6"
"Layout workers, metal and plastic    * Shipfitter* Shipfitter Apprentice","=""51-4192""","9.2","8.5","-0.6","-6.9","0.9","46,310","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Legal secretaries    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant","=""43-6012""","194.7","157.5","-37.1","-19.1","15.0","44,730","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Legal support workers, all other    * Legal Technician","=""23-2099""","50.9","52.8","1.9","3.8","4.4","56,120","Associate's degree","4","None","4","None","6"
"Legislators    * City Alderman* City Council Member* Congressional Representative* Councilor* Legislator* Member of Congress* Selectman* Senator* Tribal Council Member","=""11-1031""","55.5","59.4","3.9","7.1","4.4","25,630","Bachelor's degree","3","Less than 5 years","2","None","6"
"Librarians    * Acquisitions Librarian* Catalog Librarian* Children's Librarian* Collection Development Librarian* College Librarian* Electronic Resources Librarian* Film Librarian* Government Documents Librarian* High School Librarian* Interlibrary Loan Services Librarian* Law Librarian* Medical Librarian* Music Librarian* Periodicals Librarian* Record Librarian* Reference Librarian* Research Librarian* School Librarian* Serials Librarian* Technical Services Librarian* University Librarian* Youth Services Librarian","=""25-4021""","138.2","150.6","12.4","8.9","14.5","58,520","Master's degree","2","None","4","None","6"
"Library assistants, clerical    * Book Sorter* Braille and Talking Books Clerk* Circulation Clerk* Film Library Clerk* Library Aide* Library Assistant* Library Circulation Clerk* Library Clerk* Medical Library Assistant* Microfilm Clerk","=""43-4121""","104.3","114.1","9.8","9.4","16.3","25,810","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor","=""25-1082""","6.0","6.5","0.5","9.0","0.5","70,940","Doctoral or professional degree","1","None","4","None","6"
"Library technicians    * Cataloging Library Technical Assistant* Library Acquisitions Technician* Library Cataloging Technician* Library Circulation Technician* Library Technical Assistant* Serials or Bindery Library Technical Assistant","=""25-4031""","99.2","108.2","9.0","9.1","14.4","33,690","Postsecondary nondegree award","5","None","4","None","6"
"Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse","=""29-2061""","724.5","813.4","88.9","12.3","62.7","45,030","Postsecondary nondegree award","5","None","4","None","6"
"Life scientists, all other    * Life Science Taxonomist","=""19-1099""","8.9","9.7","0.8","9.2","0.8","74,540","Bachelor's degree","3","None","4","None","6"
"Life, physical, and social science technicians, all other    * Meteorological Aide* Polygraph Examiner","=""19-4099""","76.1","83.5","7.4","9.7","9.9","48,090","Associate's degree","4","None","4","None","6"
"Lifeguards, ski patrol, and other recreational protective service workers    * Beach Lifeguard* Certified Ski Patroller* Life Guard* OEC Technician* Outdoor Emergency Care Technician* Pool Lifeguard* Ski Patrol","=""33-9092""","152.1","163.7","11.7","7.7","39.7","21,290","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Light truck or delivery services drivers    * Pharmacy Delivery Driver","=""53-3033""","953.5","1,015.6","62.1","6.5","109.8","31,450","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Loading machine operators, underground mining    * Coke Loader* Joy Loader* Load Haul Dump Operator","=""53-7033""","2.6","2.5","-0.1","-3.5","0.3","52,420","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Loan interviewers and clerks    * Loan Interviewer* Loan Processor* Mortgage Closing Clerk* Mortgage Loan Closer* Mortgage Loan Processing Clerk* Mortgage Loan Processor* Mortgage Processor","=""43-4131""","229.8","258.2","28.4","12.3","25.7","39,060","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Real Estate Loan Officer","=""13-2072""","318.6","354.9","36.3","11.4","30.4","64,660","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Locker room, coatroom, and dressing room attendants    * Athletic Equipment Manager* Bathhouse Attendant* Checkroom Attendant* Cloak Room Attendant* Coat Checker* Ladies Locker Room Attendant* Locker Room Attendant* Locker Room Manager* Locker Room Supervisor* Washroom Attendant","=""39-3093""","18.6","20.3","1.6","8.7","4.5","22,830","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Locksmiths and safe repairers    * Key Maker* Keysmith* Lock Expert* Lock Fitter* Lock Setter* Lock Technician* Locksmith* Safe and Vault Installer* Safe and Vault Mechanic","=""49-9094""","28.7","27.8","-1.0","-3.3","2.5","40,680","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Locomotive engineers    * Freight Engineer* Railroad Engineer* Railway Engineer* Train Engineer","=""53-4011""","38.8","37.7","-1.1","-2.8","3.0","60,990","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Locomotive firers    * Diesel Locomotive Firer* Dinkey Engine Firer* Railroad Firer","=""53-4012""","1.2","0.3","-0.9","-78.6","0.0","60,360","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Lodging managers    * Bed and Breakfast Innkeeper* Boardinghouse Keeper* Hotel Director* Hotel Manager* Hotel Operations Manager* Innkeeper* Lodging Facilities Manager","=""11-9081""","47.8","49.7","1.9","4.0","5.0","51,800","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Log graders and scalers    * Log Check Scaler* Log Grader* Log Scaler* Log Sorter* Timber Estimator* Veneer Grader","=""45-4023""","4.2","4.1","-0.1","-3.0","0.5","37,880","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logging equipment operators    * Delimber Operator* Feller Buncher Operator* Feller Operator* Grapple Operator* Grapple Skidder Operator* Log Hauler* Log Processor Operator* Log Stacker Operator* Logging Crane Operator* Logging Shovel Operator* Logging Tractor Operator* Lumber Stacker Operator* Timber Harvester Operator* Tree-Shear Operator","=""45-4022""","39.1","34.2","-4.9","-12.6","4.2","38,390","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logging workers, all other    * Log Cutter* Log Peeler* Log Roper* Rigging Slinger* Timber Hand","=""45-4029""","4.5","3.9","-0.7","-14.7","0.5","39,740","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist","=""13-1081""","148.7","159.0","10.3","6.9","15.6","74,590","Bachelor's degree","3","None","4","None","6"
"Machine feeders and offbearers    * Brick Offbearer* Chain Offbearer* Chopper Feeder* Doffer* Dryer Feeder* Hopper Feeder* Hopper Filler* Line Feeder* Offbearer* Packing Machine Can Feeder* Spike Machine Feeder* Spinning Doffer* Spooler Operator","=""53-7063""","87.7","89.2","1.6","1.8","12.0","28,510","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Machinists    * Automotive Machinist* CNC Machinist* Gear Machinist* Manual Lathe Machinist* Precision Machinist* Production Machinist* Tool Room Machinist","=""51-4041""","396.2","404.1","7.9","2.0","40.7","42,600","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist","=""29-2035""","36.6","41.5","5.0","13.7","2.5","69,930","Associate's degree","4","Less than 5 years","2","None","6"
"Maids and housekeeping cleaners    * Chambermaid* Cleaning Maid* Cottage Attendant* Domestic Maid* House Cleaner* Housekeeping Aide* Housekeeping Staff* Motel Maid* Ward Maid","=""37-2012""","1,443.2","1,531.0","87.9","6.1","202.0","22,860","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Mail clerks and mail machine operators, except postal service    * Direct Mail Clerk* Mailroom Clerk* Packaging Clerk","=""43-9051""","95.5","88.4","-7.1","-7.4","9.4","29,620","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Maintenance and repair workers, general    * Building Maintenance Mechanic* Building Mechanic* Building Services Mechanic* Maintenance Mechanic* Mechanics Handyman* Plant Maintenance Technician","=""49-9071""","1,432.6","1,545.1","112.5","7.9","154.7","37,670","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Maintenance workers, machinery    * Crane Oiler","=""49-9043""","89.7","94.7","5.0","5.6","9.8","45,540","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Makeup artists, theatrical and performance    * Special Effects Makeup Artist","=""39-5091""","4.8","5.4","0.6","12.5","0.6","59,300","Postsecondary nondegree award","5","None","4","None","6"
"Management analysts    * Business Analyst* Business Consultant* Business Management Analyst* Business Process Consultant* Clerical Methods Analyst* Commercial Specialist* Industrial Analyst* Management Analyst* Management Consultant* Records Management Analyst","=""13-1111""","806.4","921.6","115.2","14.3","83.9","82,450","Bachelor's degree","3","Less than 5 years","2","None","6"
"Managers, all other    * Clerk of Court* Director of Entertainment* Environmental Control Administrator* Highway Patrol Commander* Safety Coordinator* Social Science Manager* Utilities Manager","=""11-9199""","992.1","1,071.7","79.5","8.0","79.2","105,610","Bachelor's degree","3","Less than 5 years","2","None","6"
